 X	PSI		Ne	Te	Zeff	SigmaH	 Stotal		NSL		Power	LinIonDens
 27.9612	0.0933544		1.023e+020	20.2689	1.69792		6.40166e-017	6.4121e-021		1.52279	0.218102	0.143066
 27.9712	0.0921849		1.023e+020	20.3158	1.69804		6.40027e-017	6.41073e-021		1.52935	0.216677	0.1421
 27.9812	0.0911882		1.023e+020	20.3557	1.69814		6.39909e-017	6.40957e-021		1.53591	0.215261	0.141146
 27.9912	0.0902399		1.023e+020	20.3937	1.69824		6.39796e-017	6.40846e-021		1.54246	0.213854	0.1402
 28.0012	0.089293		1.023e+020	20.4316	1.69834		6.39685e-017	6.40736e-021		1.54902	0.212457	0.13926
 28.0112	0.0883477		1.023e+020	20.4695	1.69843		6.39573e-017	6.40626e-021		1.55557	0.211069	0.138326
 28.0212	0.0874039		1.023e+020	20.5073	1.69853		6.39462e-017	6.40517e-021		1.56212	0.209691	0.137399
 28.0312	0.0864615		1.023e+020	20.545	1.69863		6.39351e-017	6.40408e-021		1.56867	0.208321	0.136479
 28.0412	0.0855208		1.023e+020	20.5827	1.69872		6.39241e-017	6.40299e-021		1.57522	0.206961	0.135565
 28.0512	0.0845815		1.023e+020	20.6203	1.69882		6.39131e-017	6.40191e-021		1.58177	0.20561	0.134657
 28.0612	0.0836569		1.023e+020	20.6573	1.69892		6.39024e-017	6.40085e-021		1.58832	0.204268	0.133756
 28.0712	0.0829325		1.023e+020	20.6863	1.69899		6.38939e-017	6.40002e-021		1.59487	0.202935	0.132866
 28.0812	0.0822092		1.023e+020	20.7153	1.69906		6.38855e-017	6.39919e-021		1.60141	0.201611	0.131982
 28.0912	0.0814872		1.023e+020	20.7442	1.69914		6.38771e-017	6.39837e-021		1.60796	0.200296	0.131104
